"intProjectID","strRollNumber","strProjRefNo","strLDU","strPACNo","strSMANo","datReportOfSurplus","intDisposalMethod","intPropertyTypeID","intPurchaserTypeID","intInterestSoldID"
428,"","","36858","0","766949",12/2/1997,3,8,4,5
429,"","","18730","0","766951",12/2/1997,3,8,4,5
430,"","","16649","0","766988",,8,5,2,3
431,"","","17310","365","766967",10/29/1997,1,1,1,1
432,"","","0","0","766969",11/19/1997,3,3,4,4
433,"","","18872","369","766975",11/19/1997,3,8,1,4
434,"","","0","288","766946",4/19/1993,2,5,3,12
435,"","","16781","0","766997",12/5/1997,2,8,3,12
436,"","","0","62","766955",12/1/1997,4,3,4,2
437,"","","68380","0","766994",11/19/1997,3,8,4,2
438,"","","18899","0","766971",11/20/1997,1,1,1,1
439,"","","0","0","766999",2/12/1998,4,3,4,4
440,"","","0","0","768013",6/7/1998,2,8,3,7
441,"","","0","0","768021",,2,8,3,12
442,"","","0","0","0",,2,8,5,6
443,"","","0","0","0",,8,2,2,3
444,"","","19777","372","840199",5/1/1998,8,8,3,4
445,"","","0","0","840163",,3,1,4,2
446,"","","32222","68","840160",,3,1,4,2
447,"","","17736","373","841856",7/6/1998,1,1,1,1
448,"","","0","0","0",1/23/1998,1,1,1,1
449,"","","0","0","768034",,1,1,1,1
450,"","","0","0","840169",,8,5,2,6
451,"","","19431","0","845328",,4,8,4,4
452,"","","16175","70","845331",,8,8,4,2
453,"","","18600","0","845336",8/10/1998,3,8,4,4
454,"","","18837","71","845338",8/10/1998,3,8,4,5
455,"","","0","72","845334",8/10/1998,3,8,4,2
456,"","","16111","0","845350",9/16/1998,2,8,3,4
457,"","","16094","0","845348",9/16/1998,8,2,2,4
458,"","","17312","0","845303",8/12/1997,1,1,1,1
459,"","","67410","0","845680",,8,2,5,12
460,"","","17962","0","845708",1/25/1999,8,4,2,4
461,"","","0","0","845562",,3,3,4,2
462,"","","53055","0","845922",,2,8,3,4
463,"","","0","0","846104",4/1/1999,7,6,6,12
464,"","","5363","0","846036",4/21/1999,4,8,4,4
